han,bs,pinyin,middle_chinese,gloss
埃,qˤə,āi,'oj,dust
哀,ʔˤəj,āi,'oj,to pity; sad
藹,qˤats,ǎi,'ajH,"ample, numerous"
阸,qˤriks,ài,'eaH,a narrow pass
隘,qˤriks,ài,'eaH,a narrow pass
愛,qˤəps,ài,'ojH,to love; to grudge (< ‘draw close to oneself’?)
僾,qˤəps,ài,'ojH,"to pant, lose the breath"
艾,C.ŋˤats,ài,ngajH,Artemisia; moxa
鞌,ʔˤan,ān,'an,[place name]
鞍,ʔˤan,ān,'an,[place name]
安,ʔˤan,ān,'an,peace(ful)
安,ʔˤan,ān,'an,how
安,ʔˤan,ān,'an,"安息 Ānxī (Iranian country in the western regions, W. Hàn; from Aršaka = Arsaces, founder of the Arsacid dynasty)"
晻,qˤomʔ,ǎn,'omX,dark
按,ʔˤans,àn,'anH,repress
案,ʔˤans,àn,'anH,stool; tray
晻,qˤomʔ-s,àn,'omH,dark
暗,qˤums,àn,'omH,dark
黬,kˤrəm,àn,keam,black blot
岸,ŋˤars,àn,nganH,bank of a river
豻,m-ɢˤars,àn,nganH,wild dog
卬,k.ŋˤaŋ,áng,ngang,high; lift high
卬,ŋˤaŋ,áng,ngang,"I, me"
㼜,ʔˤaŋs,àng,'angH,basin; (tublike:) swollen
敖,ŋˤaw,áo,ngaw,tall
囂,ŋˤaw,áo,ngaw,"clamor, many voices; arrogant"
敖,ŋˤaw,áo,ngaw,saunter about
嗸,ŋˤaw,áo,ngaw,distressed cry
熬,ŋˤaw,áo,ngaw,"fry, roast (v.)"
媼,ʔˤuʔ,ǎo,'awX,old woman
奧,ʔˤuks,ào,'awH,southwest corner of a house
澳,ʔˤuks,ào,'awH,"bay, cove"
巴,pˤra,bā,pae,snake
巴,pˤra,bā,pae,[place name]
豝,pˤra,bā,pae,"sow, pig"
八,pˤret,bā,peat,eight
軷,bˤat,bá,bat,sacrifice to the gods of the road
茇,m-pˤat,bá,bat,halt in the open
拔,bˤrot,bá,beat,uproot
茇,pˤat,bá,pat,halt in the open
胈,pˤot,bá,pat,small hairs on body; roots of grass
把,pˤraʔ,bǎ,paeX,grasp (v.)
罷,bˤrajʔ,bà,beaX,"stop, cease"
霸,pˤraks,bà,paeH,have hegemony
白,bˤrak,bái,baek,white
百,pˤrak,bǎi,paek,hundred
柏,pˤrak,bǎi,paek,cypress
敗,N-pˤrats,bài,baejH,suffer defeat
稗,C.bˤres,bài,beaH,weed resembling grain
敗,pˤrats,bài,paejH,defeat (v.t.)
